country,variable,percentile,year,value
AO,wwealg999i,p0p100,2012,-0.0584491044282913
AO,wwealg999i,p0p100,2013,-0.090268038213253
AO,wwealg999i,p0p100,2014,-0.151341691613197
AO,wwealg999i,p0p100,2015,-0.278741955757141
AO,wwealg999i,p0p100,2016,-0.410120576620102
AO,wwealg999i,p0p100,2017,-0.469073534011841
AO,wwealg999i,p0p100,2018,-0.553884625434875
AO,wwealg999i,p0p100,2019,-0.699165761470795
AO,wwealg999i,p0p100,2020,-0.832186758518219
AO,wwealg999i,p0p100,2021,-0.846072196960449
AR,wwealg999i,p0p100,1995,-0.0906739011406898
AR,wwealg999i,p0p100,1996,-0.095424085855484
AR,wwealg999i,p0p100,1997,-0.0878319516777992
AR,wwealg999i,p0p100,1998,-0.0971167460083961
AR,wwealg999i,p0p100,1999,-0.132400080561638
AR,wwealg999i,p0p100,2000,-0.139772117137909
AR,wwealg999i,p0p100,2001,-0.183852389454842
AR,wwealg999i,p0p100,2002,-0.547488212585449
AR,wwealg999i,p0p100,2003,-0.701217651367188
AR,wwealg999i,p0p100,2004,-0.52307665348053
AR,wwealg999i,p0p100,2005,-0.329179972410202
AR,wwealg999i,p0p100,2006,-0.162758961319923
AR,wwealg999i,p0p100,2007,-0.0895330756902695
AR,wwealg999i,p0p100,2008,-0.0257294550538063
AR,wwealg999i,p0p100,2009,-0.033082976937294
AR,wwealg999i,p0p100,2010,0.0342222191393375
AR,wwealg999i,p0p100,2011,0.0775887444615364
AR,wwealg999i,p0p100,2012,0.0702690556645393
AR,wwealg999i,p0p100,2013,0.0553191751241684
AR,wwealg999i,p0p100,2014,0.0417806915938854
AR,wwealg999i,p0p100,2015,-0.0057145557366312
AR,wwealg999i,p0p100,2016,-0.0325758308172226
AR,wwealg999i,p0p100,2017,-0.0707916915416718
AR,wwealg999i,p0p100,2018,-0.172939524054527
AR,wwealg999i,p0p100,2019,-0.229916825890541
AR,wwealg999i,p0p100,2020,-0.217302471399307
AR,wwealg999i,p0p100,2021,-0.234370306134224
AS,wwealg999i,p0p100,2002,0.271409541368484
AS,wwealg999i,p0p100,2003,0.306064397096634
AS,wwealg999i,p0p100,2004,0.343246340751648
AS,wwealg999i,p0p100,2005,0.381644129753113
AS,wwealg999i,p0p100,2006,0.418893933296204
AS,wwealg999i,p0p100,2007,0.451850473880768
AS,wwealg999i,p0p100,2008,0.477954626083374
AS,wwealg999i,p0p100,2009,0.495829373598099
AS,wwealg999i,p0p100,2010,0.505497515201569
AS,wwealg999i,p0p100,2011,0.507966995239258
AS,wwealg999i,p0p100,2012,0.504412531852722
AS,wwealg999i,p0p100,2013,0.496072888374329
AS,wwealg999i,p0p100,2014,0.483982384204865
AS,wwealg999i,p0p100,2015,0.469185441732407
AS,wwealg999i,p0p100,2016,0.452738225460052
AS,wwealg999i,p0p100,2017,0.435414701700211
AS,wwealg999i,p0p100,2018,0.417655229568481
AS,wwealg999i,p0p100,2019,0.399636119604111
AS,wwealg999i,p0p100,2020,0.381785243749618
AS,wwealg999i,p0p100,2021,0.363675057888031
AT,wwealg999i,p0p100,1995,0.777431786060333
AT,wwealg999i,p0p100,1996,0.765265047550201
AT,wwealg999i,p0p100,1997,0.715728044509888
AT,wwealg999i,p0p100,1998,0.667201936244965
AT,wwealg999i,p0p100,1999,0.657832384109497
AT,wwealg999i,p0p100,2000,0.654614508152008
AT,wwealg999i,p0p100,2001,0.655360043048859
AT,wwealg999i,p0p100,2002,0.641520500183105
AT,wwealg999i,p0p100,2003,0.637726962566376
AT,wwealg999i,p0p100,2004,0.641757130622864
AT,wwealg999i,p0p100,2005,0.633349597454071
AT,wwealg999i,p0p100,2006,0.645958483219147
AT,wwealg999i,p0p100,2007,0.677545785903931
AT,wwealg999i,p0p100,2008,0.684560775756836
AT,wwealg999i,p0p100,2009,0.658571124076843
AT,wwealg999i,p0p100,2010,0.639765918254852
AT,wwealg999i,p0p100,2011,0.62731921672821
AT,wwealg999i,p0p100,2012,0.60007643699646
AT,wwealg999i,p0p100,2013,0.587227940559387
AT,wwealg999i,p0p100,2014,0.57760763168335
AT,wwealg999i,p0p100,2015,0.570395410060883
AT,wwealg999i,p0p100,2016,0.572203636169434
AT,wwealg999i,p0p100,2017,0.585626244544983
AT,wwealg999i,p0p100,2018,0.625527203083038
AT,wwealg999i,p0p100,2019,0.651733219623566
AT,wwealg999i,p0p100,2020,0.574526429176331
AT,wwealg999i,p0p100,2021,0.567361772060394
AU,wwealg999i,p0p100,1960,0.600651264190674
AU,wwealg999i,p0p100,1961,0.628237962722778
AU,wwealg999i,p0p100,1962,0.667005300521851
AU,wwealg999i,p0p100,1963,0.664299190044403
AU,wwealg999i,p0p100,1964,0.663465857505798
AU,wwealg999i,p0p100,1965,0.690054357051849
AU,wwealg999i,p0p100,1966,0.735209226608276
AU,wwealg999i,p0p100,1967,0.740004479885101
AU,wwealg999i,p0p100,1968,0.76472133398056
AU,wwealg999i,p0p100,1969,0.762102782726288
AU,wwealg999i,p0p100,1970,0.792230606079102
AU,wwealg999i,p0p100,1971,0.83465975522995
AU,wwealg999i,p0p100,1972,0.858159422874451
AU,wwealg999i,p0p100,1973,0.88746166229248
AU,wwealg999i,p0p100,1974,0.947782576084137
AU,wwealg999i,p0p100,1975,1.01220059394836
AU,wwealg999i,p0p100,1976,1.03360736370087
AU,wwealg999i,p0p100,1977,1.03679823875427
AU,wwealg999i,p0p100,1978,1.05398440361023
AU,wwealg999i,p0p100,1979,1.01499581336975
AU,wwealg999i,p0p100,1980,1.02822625637054
AU,wwealg999i,p0p100,1981,1.06084287166596
AU,wwealg999i,p0p100,1982,1.0782299041748
AU,wwealg999i,p0p100,1983,1.09182727336884
AU,wwealg999i,p0p100,1984,1.03963816165924
AU,wwealg999i,p0p100,1985,1.01827228069305
AU,wwealg999i,p0p100,1986,1.00565981864929
AU,wwealg999i,p0p100,1987,0.988419473171234
AU,wwealg999i,p0p100,1988,0.973674595355988
AU,wwealg999i,p0p100,1989,1.00851118564606
AU,wwealg999i,p0p100,1990,1.01888608932495
AU,wwealg999i,p0p100,1991,0.993105292320251
AU,wwealg999i,p0p100,1992,0.933096051216125
AU,wwealg999i,p0p100,1993,0.817125737667084
AU,wwealg999i,p0p100,1994,0.731366693973541
AU,wwealg999i,p0p100,1995,0.690275490283966
AU,wwealg999i,p0p100,1996,0.655308783054352
AU,wwealg999i,p0p100,1997,0.622480928897858
AU,wwealg999i,p0p100,1998,0.637830078601837
AU,wwealg999i,p0p100,1999,0.711489975452423
AU,wwealg999i,p0p100,2000,0.761900842189789
AU,wwealg999i,p0p100,2001,0.76561051607132
AU,wwealg999i,p0p100,2002,0.753307342529297
AU,wwealg999i,p0p100,2003,0.7629634141922
AU,wwealg999i,p0p100,2004,0.799714624881744
AU,wwealg999i,p0p100,2005,0.883285403251648
AU,wwealg999i,p0p100,2006,0.945788323879242
AU,wwealg999i,p0p100,2007,1.00876450538635
AU,wwealg999i,p0p100,2008,1.09592974185944
AU,wwealg999i,p0p100,2009,1.17051637172699
AU,wwealg999i,p0p100,2010,1.18953621387482
AU,wwealg999i,p0p100,2011,1.11268103122711
AU,wwealg999i,p0p100,2012,1.0174320936203
AU,wwealg999i,p0p100,2013,0.98106974363327
AU,wwealg999i,p0p100,2014,1.04091536998749
AU,wwealg999i,p0p100,2015,1.06954395771027
AU,wwealg999i,p0p100,2016,0.988560855388641
AU,wwealg999i,p0p100,2017,0.958831608295441
AU,wwealg999i,p0p100,2018,1.01315379142761
AU,wwealg999i,p0p100,2019,1.03516697883606
AU,wwealg999i,p0p100,2020,1.02202153205872
AU,wwealg999i,p0p100,2021,1.00870096683502
AW,wwealg999i,p0p100,1995,0.0605280958116055
AW,wwealg999i,p0p100,1996,0.0816624760627747
AW,wwealg999i,p0p100,1997,0.102659672498703
AW,wwealg999i,p0p100,1998,0.123857535421848
AW,wwealg999i,p0p100,1999,0.145939707756043
AW,wwealg999i,p0p100,2000,0.169955477118492
AW,wwealg999i,p0p100,2001,0.196521535515785
AW,wwealg999i,p0p100,2002,0.225757390260696
AW,wwealg999i,p0p100,2003,0.25758370757103
AW,wwealg999i,p0p100,2004,0.291530072689056
AW,wwealg999i,p0p100,2005,0.326271861791611
AW,wwealg999i,p0p100,2006,0.359489738941193
AW,wwealg999i,p0p100,2007,0.388304024934769
AW,wwealg999i,p0p100,2008,0.410237342119217
AW,wwealg999i,p0p100,2009,0.423998564481735
AW,wwealg999i,p0p100,2010,0.429647713899612
AW,wwealg999i,p0p100,2011,0.428236693143845
AW,wwealg999i,p0p100,2012,0.421092212200165
AW,wwealg999i,p0p100,2013,0.409572869539261
AW,wwealg999i,p0p100,2014,0.394799113273621
AW,wwealg999i,p0p100,2015,0.377806395292282
AW,wwealg999i,p0p100,2016,0.359675616025925
AW,wwealg999i,p0p100,2017,0.341190338134766
AW,wwealg999i,p0p100,2018,0.322768479585648
AW,wwealg999i,p0p100,2019,0.304478675127029
AW,wwealg999i,p0p100,2020,0.286396771669388
AW,wwealg999i,p0p100,2021,0.267996460199356
AZ,wwealg999i,p0p100,1995,0.304486781358719
AZ,wwealg999i,p0p100,1996,0.267358869314194
AZ,wwealg999i,p0p100,1997,0.263887941837311
AZ,wwealg999i,p0p100,1998,0.239886924624443
AZ,wwealg999i,p0p100,1999,0.163650065660477
AZ,wwealg999i,p0p100,2000,0.133500769734383
AZ,wwealg999i,p0p100,2001,0.113392896950245
AZ,wwealg999i,p0p100,2002,0.100101359188557
AZ,wwealg999i,p0p100,2003,0.096699096262455
AZ,wwealg999i,p0p100,2004,0.139997482299805
AZ,wwealg999i,p0p100,2005,0.262831926345825
AZ,wwealg999i,p0p100,2006,0.348527133464813
AZ,wwealg999i,p0p100,2007,0.417735993862152
AZ,wwealg999i,p0p100,2008,0.471649050712585
AZ,wwealg999i,p0p100,2009,0.499407887458801
AZ,wwealg999i,p0p100,2010,0.511185586452484
AZ,wwealg999i,p0p100,2011,0.515663862228394
AZ,wwealg999i,p0p100,2012,0.521001398563385
AZ,wwealg999i,p0p100,2013,0.515399396419525
AZ,wwealg999i,p0p100,2014,0.487343728542328
AZ,wwealg999i,p0p100,2015,0.566316723823547
AZ,wwealg999i,p0p100,2016,0.500665485858917
AZ,wwealg999i,p0p100,2017,0.470692008733749
AZ,wwealg999i,p0p100,2018,0.456067591905594
AZ,wwealg999i,p0p100,2019,0.457710444927216
AZ,wwealg999i,p0p100,2020,0.442746847867966
AZ,wwealg999i,p0p100,2021,0.428936183452606
BA,wwealg999i,p0p100,1995,0.453845590353012
BA,wwealg999i,p0p100,1996,0.474936693906784
BA,wwealg999i,p0p100,1997,0.496227622032166
BA,wwealg999i,p0p100,1998,0.518028914928436
BA,wwealg999i,p0p100,1999,0.540436923503876
BA,wwealg999i,p0p100,2000,0.582236409187317
BA,wwealg999i,p0p100,2001,0.620607018470764
BA,wwealg999i,p0p100,2002,0.638246595859528
BA,wwealg999i,p0p100,2003,0.661237776279449
BA,wwealg999i,p0p100,2004,0.683231830596924
BA,wwealg999i,p0p100,2005,0.704649984836578
BA,wwealg999i,p0p100,2006,0.740295469760895
BA,wwealg999i,p0p100,2007,0.77209347486496
BA,wwealg999i,p0p100,2008,0.776607930660248
BA,wwealg999i,p0p100,2009,0.755871951580048
BA,wwealg999i,p0p100,2010,0.745075821876526
BA,wwealg999i,p0p100,2011,0.739178597927094
BA,wwealg999i,p0p100,2012,0.725238561630249
BA,wwealg999i,p0p100,2013,0.727753698825836
BA,wwealg999i,p0p100,2014,0.724945962429047
BA,wwealg999i,p0p100,2015,0.722000360488892
BA,wwealg999i,p0p100,2016,0.718056201934814
BA,wwealg999i,p0p100,2017,0.72136002779007
BA,wwealg999i,p0p100,2018,0.732953488826752
BA,wwealg999i,p0p100,2019,0.732907056808472
BA,wwealg999i,p0p100,2020,0.720122218132019
BA,wwealg999i,p0p100,2021,0.702933967113495
BB,wwealg999i,p0p100,1995,-0.556714534759521
BB,wwealg999i,p0p100,1996,-0.519712388515472
BB,wwealg999i,p0p100,1997,-0.497464179992676
BB,wwealg999i,p0p100,1998,-0.482986181974411
BB,wwealg999i,p0p100,1999,-0.468525260686874
BB,wwealg999i,p0p100,2000,-0.461848497390747
BB,wwealg999i,p0p100,2001,-0.45251128077507
BB,wwealg999i,p0p100,2002,-0.424487948417664
BB,wwealg999i,p0p100,2003,-0.395341604948044
BB,wwealg999i,p0p100,2004,-0.381554365158081
BB,wwealg999i,p0p100,2005,-0.399352818727493
BB,wwealg999i,p0p100,2006,-0.43921348452568
BB,wwealg999i,p0p100,2007,-0.419291377067566
BB,wwealg999i,p0p100,2008,-0.438018381595612
BB,wwealg999i,p0p100,2009,-0.510581433773041
BB,wwealg999i,p0p100,2010,-0.542307257652283
BB,wwealg999i,p0p100,2011,-0.575518190860748
BB,wwealg999i,p0p100,2012,-0.648221731185913
BB,wwealg999i,p0p100,2013,-0.708224654197693
BB,wwealg999i,p0p100,2014,-0.834366142749786
BB,wwealg999i,p0p100,2015,-0.673576474189758
BB,wwealg999i,p0p100,2016,-0.685966730117798
BB,wwealg999i,p0p100,2017,-0.69857382774353
BB,wwealg999i,p0p100,2018,-0.708633959293365
BB,wwealg999i,p0p100,2019,-0.719986498355865
BB,wwealg999i,p0p100,2020,-0.731466054916382
BB,wwealg999i,p0p100,2021,-0.742640972137451
BD,wwealg999i,p0p100,1995,-0.185750171542168
BD,wwealg999i,p0p100,1996,-0.143494203686714
BD,wwealg999i,p0p100,1997,-0.114214211702347
BD,wwealg999i,p0p100,1998,-0.102498471736908
BD,wwealg999i,p0p100,1999,-0.105761744081974
BD,wwealg999i,p0p100,2000,-0.09601741284132
BD,wwealg999i,p0p100,2001,-0.10327522456646
BD,wwealg999i,p0p100,2002,-0.113485462963581
BD,wwealg999i,p0p100,2003,-0.100150749087334
BD,wwealg999i,p0p100,2004,-0.0446444861590862
BD,wwealg999i,p0p100,2005,0.0060488651506603
BD,wwealg999i,p0p100,2006,0.0309207197278738
BD,wwealg999i,p0p100,2007,0.0600163973867893
BD,wwealg999i,p0p100,2008,0.0847968906164169
BD,wwealg999i,p0p100,2009,0.106722749769688
BD,wwealg999i,p0p100,2010,0.133566468954086
BD,wwealg999i,p0p100,2011,0.143826678395271
BD,wwealg999i,p0p100,2012,0.1440210044384
BD,wwealg999i,p0p100,2013,0.145082786679268
BD,wwealg999i,p0p100,2014,0.144798904657364
BD,wwealg999i,p0p100,2015,0.150088354945183
BD,wwealg999i,p0p100,2016,0.152584388852119
BD,wwealg999i,p0p100,2017,0.147419407963753
BD,wwealg999i,p0p100,2018,0.137852847576141
BD,wwealg999i,p0p100,2019,0.149261996150017
BD,wwealg999i,p0p100,2020,0.142916917800903
BD,wwealg999i,p0p100,2021,0.127914234995842
BE,wwealg999i,p0p100,1995,1.33580958843231
BE,wwealg999i,p0p100,1996,1.31107294559479
BE,wwealg999i,p0p100,1997,1.32323575019836
BE,wwealg999i,p0p100,1998,1.31864416599274
BE,wwealg999i,p0p100,1999,1.36341547966003
BE,wwealg999i,p0p100,2000,1.46517527103424
BE,wwealg999i,p0p100,2001,1.476677775383
BE,wwealg999i,p0p100,2002,1.46543145179748
BE,wwealg999i,p0p100,2003,1.45536780357361
BE,wwealg999i,p0p100,2004,1.49299228191376
BE,wwealg999i,p0p100,2005,1.51793229579925
BE,wwealg999i,p0p100,2006,1.57723832130432
